length of filearray:  10000000  capacity of file Array:  10982400
length of filearray:  50000  capacity of file Array:  50858
BenchmarkOptimizedCreateMemProofOverTime - starting
goos: linux
goarch: amd64
pkg: example/merkleTree/verkleTree
cpu: AMD EPYC 9R14
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1270-32      	      10	 128324827 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1280-32      	      10	 127849525 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1290-32      	      10	 128559008 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1300-32      	      10	 124127234 ns/op	240276377 B/op	     853 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1310-32      	      10	 124331905 ns/op	240276377 B/op	     853 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1320-32      	      10	 123027878 ns/op	240274421 B/op	     814 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1330-32      	      10	 124859646 ns/op	240276377 B/op	     853 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1340-32      	      10	 124840253 ns/op	240276367 B/op	     853 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1350-32      	      10	 125994551 ns/op	240278323 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1360-32      	      10	 127302579 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1370-32      	      10	 126542146 ns/op	240278323 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1380-32      	      10	 127714846 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1390-32      	      10	 128163199 ns/op	240282214 B/op	     968 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1400-32      	      10	 126529389 ns/op	240278323 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1410-32      	      10	 125963373 ns/op	240278323 B/op	     891 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1420-32      	      10	 127102273 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1430-32      	      10	 127103687 ns/op	240280258 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1440-32      	      10	 128026166 ns/op	240280268 B/op	     930 allocs/op
BenchmarkOptimizedCreateMemProofOverTime/fan-out:_64,_certs:_10000000,_iteration:_0,_testAmount:_1450-32      	      10	 124847986 ns/op	240276377 B/op	     853 allocs/op
